model,Pi_B,seed_index,seed,K,R,Phi
M2p_HMM,0.2,13,2020013,0.8846107009810179,1.243771182845855,3.2812500000000005e-05
M2p_HMM,0.2,14,2020014,0.8752075062095155,1.2541373666699267,2.5e-05
M2p_HMM,0.2,15,2020015,0.8815846008476358,1.2562028103242988,4.062499999999999e-05
M2p_HMM,0.2,16,2020016,0.8789551153482955,1.2756874700088185,7.4218750000000025e-06
M2p_HMM,0.2,17,2020017,0.8622230191997584,1.2561887884451435,1.9921875000000005e-05
M2p_HMM,0.2,18,2020018,0.87240645517742,1.2621048557645456,1.40625e-05
M2p_HMM,0.2,19,2020019,0.8741362469566694,1.255238139977497,2.929687500000001e-05
M2p_HMM,0.30000000000000004,0,2030000,0.8722570839807917,1.374798715189791,2.5e-05
M2p_HMM,0.30000000000000004,1,2030001,0.8797570508261395,1.364978604742275,7.4218750000000025e-06
M2p_HMM,0.30000000000000004,2,2030002,0.8737926309066169,1.3468547584114465,2.5000000000000005e-05
M2p_HMM,0.30000000000000004,3,2030003,0.8787697400416812,1.3550790840390092,3.554687500000001e-05
M2p_HMM,0.30000000000000004,4,2030004,0.8740150985537128,1.3641189886648861,6.992187500000001e-05
M2p_HMM,0.30000000000000004,5,2030005,0.8714201564137793,1.3510817199562728,7.96875e-05
M2p_HMM,0.30000000000000004,6,2030006,0.8693914318270407,1.3648975639666963,4.492187500000002e-05
M2p_HMM,0.30000000000000004,7,2030007,0.8738273732829838,1.3651001880351534,2.5e-05
M2p_HMM,0.30000000000000004,8,2030008,0.8754765129817174,1.3594053581774888,2.929687500000001e-05
M2p_HMM,0.30000000000000004,9,2030009,0.876426270930786,1.3616186524965015,6.679687500000002e-05
M2p_HMM,0.30000000000000004,10,2030010,0.8687676343869368,1.3703416076566457,1.9921875000000005e-05
M2p_HMM,0.30000000000000004,11,2030011,0.8756449986112624,1.3624361465613515,5.312500000000002e-05
M2p_HMM,0.30000000000000004,12,2030012,0.8830377719141311,1.354612771988118,8.554687499999998e-05
M2p_HMM,0.30000000000000004,13,2030013,0.8755414404221542,1.3656472554342134,2.5e-05
M2p_HMM,0.30000000000000004,14,2030014,0.8618666897176196,1.3543279137695117,3.28125e-05
M2p_HMM,0.30000000000000004,15,2030015,0.8842721516241887,1.3619960563350475,7.4218750000000025e-06
M2p_HMM,0.30000000000000004,16,2030016,0.871195856752317,1.3551486640924926,3.554687499999999e-05
M2p_HMM,0.30000000000000004,17,2030017,0.8693118434843337,1.3610440747180086,7.968749999999999e-05
M2p_HMM,0.30000000000000004,18,2030018,0.8759049309644524,1.3761079653016572,1.40625e-05
M2p_HMM,0.30000000000000004,19,2030019,0.8735696401623008,1.365807371651776,2.5e-05
M2p_HMM,0.4,0,2040000,0.8756324472126341,1.4561937057888852,1.9921875000000005e-05
M2p_HMM,0.4,1,2040001,0.8750696016981059,1.4793059241639868,6.875000000000002e-05
M2p_HMM,0.4,2,2040002,0.8784819061970125,1.4589536243305412,1.9921875000000005e-05
M2p_HMM,0.4,3,2040003,0.8697825812181661,1.4821361007029499,1.9921875000000005e-05
M2p_HMM,0.4,4,2040004,0.8648907445939605,1.4696663128127645,5.429687500000002e-05
M2p_HMM,0.4,5,2040005,0.8817482519417867,1.4894633195238292,5.3125000000000004e-05
M2p_HMM,0.4,6,2040006,0.8717251756556988,1.4722627442364584,2.9296875000000006e-05
M2p_HMM,0.4,7,2040007,0.8727872162907289,1.463605597521826,5.3125000000000004e-05
M2p_HMM,0.4,8,2040008,0.8675979585274519,1.4723233829138898,2.9296875000000016e-05
M2p_HMM,0.4,9,2040009,0.8739444473499401,1.4844416883461606,5.4687500000000015e-05
M2p_HMM,0.4,10,2040010,0.8646789910521974,1.4653505788490797,8.554687500000002e-05
